Source File Path,Code Lines,Comment Lines,Mixed Lines,Blank Lines,Total Lines
C:\ppm8-dev\app\classes\infinitymetrics\tests\AllUnitTestSuites.class.php,15,24,0,3,42
C:\ppm8-dev\app\classes\infinitymetrics\tests\functional\agent\UC400Test.class.php,61,72,0,9,142
C:\ppm8-dev\app\classes\infinitymetrics\tests\functional\agent\UC401Test.class.php,41,29,0,8,78
C:\ppm8-dev\app\classes\infinitymetrics\tests\functional\agent\UC402Test.class.php,43,39,0,9,91
C:\ppm8-dev\app\classes\infinitymetrics\tests\functional\agent\UC403Test.class.php,50,35,0,9,94
C:\ppm8-dev\app\classes\infinitymetrics\tests\functional\agent\UC404Test.class.php,59,39,0,12,110
C:\ppm8-dev\app\classes\infinitymetrics\tests\functional\AllPersonalAgentFunctionalTests.class.php,18,25,0,3,46
C:\ppm8-dev\app\classes\infinitymetrics\tests\functional\AllUserFunctionalTests.class.php,23,25,0,3,51
C:\ppm8-dev\app\classes\infinitymetrics\tests\functional\AllWorkspaceFunctionalTests.class.php,21,24,0,3,48
C:\ppm8-dev\app\classes\infinitymetrics\tests\functional\cetracker\UC200Test.class.php,97,41,0,12,150
C:\ppm8-dev\app\classes\infinitymetrics\tests\functional\cetracker\UC202Test.class.php,83,41,0,13,137
C:\ppm8-dev\app\classes\infinitymetrics\tests\functional\user\UC001Test.class.php,153,50,0,23,226
C:\ppm8-dev\app\classes\infinitymetrics\tests\functional\user\UC002aTest.class.php,105,42,0,32,179
C:\ppm8-dev\app\classes\infinitymetrics\tests\functional\user\UC002Test.class.php,125,49,0,21,195
C:\ppm8-dev\app\classes\infinitymetrics\tests\functional\user\UC003Test.class.php,226,64,0,40,330
C:\ppm8-dev\app\classes\infinitymetrics\tests\functional\user\UC004Test.class.php,162,60,0,28,250
C:\ppm8-dev\app\classes\infinitymetrics\tests\functional\user\UC005Test.class.php,158,42,0,34,234
C:\ppm8-dev\app\classes\infinitymetrics\tests\functional\user\UC006Test.class.php,166,46,0,30,242
C:\ppm8-dev\app\classes\infinitymetrics\tests\functional\workspace\UC100Test.class.php,84,7,0,17,108
C:\ppm8-dev\app\classes\infinitymetrics\tests\functional\workspace\UC101Test.class.php,61,7,0,15,83
C:\ppm8-dev\app\classes\infinitymetrics\tests\functional\workspace\UC102Test.class.php,96,7,0,21,124
C:\ppm8-dev\app\classes\infinitymetrics\tests\functional\workspace\UC103Test.class.php,77,5,0,17,99
C:\ppm8-dev\app\classes\infinitymetrics\tests\functional\workspace\UC104Test.class.php,108,6,0,24,138
C:\ppm8-dev\app\classes\infinitymetrics\tests\functional\workspace\UC105Test.class.php,80,6,0,20,106
C:\ppm8-dev\app\classes\infinitymetrics\tests\system\agent\FullnameJNUsernameInMemoryCacheSystemTest.class.php,93,34,0,13,140
C:\ppm8-dev\app\classes\infinitymetrics\tests\system\agent\PersonalAgentSystemTests.class.php,105,62,0,19,186
C:\ppm8-dev\app\classes\infinitymetrics\tests\system\AllCustomEventSystemTests.class.php,11,24,0,3,38
C:\ppm8-dev\app\classes\infinitymetrics\tests\system\AllPersonalAgentSystemTests.class.php,13,25,0,3,41
C:\ppm8-dev\app\classes\infinitymetrics\tests\system\AllUserSystemTests.class.php,15,24,0,3,42
C:\ppm8-dev\app\classes\infinitymetrics\tests\system\cetracker\CustomEventSystemTest.class.php,116,34,0,27,177
C:\ppm8-dev\app\classes\infinitymetrics\tests\system\user\InstructorSystemTest.class.php,112,33,1,16,162
C:\ppm8-dev\app\classes\infinitymetrics\tests\system\user\StudentSystemTest.class.php,112,31,1,16,160
C:\ppm8-dev\app\classes\infinitymetrics\tests\system\user\UserSystemTest.class.php,97,31,1,16,145
C:\ppm8-dev\app\classes\infinitymetrics\tests\ui\HomePageTest.class.php,13,24,2,2,41
C:\ppm8-dev\app\classes\infinitymetrics\tests\unit\agent\PersonalAgentTest.class.php,44,38,0,7,89
C:\ppm8-dev\app\classes\infinitymetrics\tests\unit\AllPersonalAgentUnitTests.class.php,11,24,0,3,38
C:\ppm8-dev\app\classes\infinitymetrics\tests\unit\AllUserUnitTests.class.php,15,24,0,3,42
C:\ppm8-dev\app\classes\infinitymetrics\tests\unit\AllUtilityLibraryUnitTests.class.php,15,24,0,3,42
C:\ppm8-dev\app\classes\infinitymetrics\tests\unit\report\EventCategoryTest.class.php,30,5,0,14,49
C:\ppm8-dev\app\classes\infinitymetrics\tests\unit\report\EventChannelTest.class.php,90,5,0,27,122
C:\ppm8-dev\app\classes\infinitymetrics\tests\unit\report\EventTest.class.php,27,5,0,12,44
C:\ppm8-dev\app\classes\infinitymetrics\tests\unit\report\ReportTest.class.php,118,5,0,31,154
C:\ppm8-dev\app\classes\infinitymetrics\tests\unit\user\InstructorTest.class.php,36,24,0,6,66
C:\ppm8-dev\app\classes\infinitymetrics\tests\unit\user\StudentTest.class.php,34,24,0,7,65
C:\ppm8-dev\app\classes\infinitymetrics\tests\unit\user\UserTest.class.php,36,25,0,9,70
C:\ppm8-dev\app\classes\infinitymetrics\tests\unit\util\AbstractCollectionTest.class.php,56,14,0,8,78
C:\ppm8-dev\app\classes\infinitymetrics\tests\unit\util\ArrayListTest.class.php,50,11,0,8,69
C:\ppm8-dev\app\classes\infinitymetrics\tests\unit\util\DateTimeUtilTest.class.php,30,7,0,5,42
C:\ppm8-dev\app\classes\infinitymetrics\tests\unit\workspace\MetricsWorkspaceTest.class.php,55,12,0,18,85
C:\ppm8-dev\app\classes\infinitymetrics\tests\unit\workspace\ProjectTest.class.php,30,13,0,12,55
C:\ppm8-dev\app\classes\infinitymetrics\tests\unit\workspace\WorkspaceStateTest.class.php,47,28,0,7,82
C:\ppm8-dev\app\classes\infinitymetrics\util\AbstractCollection.class.php,45,66,0,1,112
C:\ppm8-dev\app\classes\infinitymetrics\util\ArrayList.class.php,39,42,0,5,86
C:\ppm8-dev\app\classes\infinitymetrics\util\Collection.interface.php,12,36,0,1,49
C:\ppm8-dev\app\classes\infinitymetrics\util\DateTimeUtil.class.php,13,20,0,5,38
C:\ppm8-dev\app\classes\infinitymetrics\util\EncodingUtil.class.php,15,31,0,5,51
C:\ppm8-dev\app\classes\infinitymetrics\util\Enum.class.php,23,45,0,6,74
C:\ppm8-dev\app\classes\infinitymetrics\util\go4pattenrs\behavorial\observer\Observable.class.php,7,40,0,2,49
C:\ppm8-dev\app\classes\infinitymetrics\util\go4pattenrs\behavorial\observer\ObservableSubject.class.php,29,33,0,9,71
C:\ppm8-dev\app\classes\infinitymetrics\util\go4pattenrs\behavorial\observer\Observer.class.php,5,33,0,2,40
C:\ppm8-dev\app\classes\infinitymetrics\util\go4pattenrs\creational\AbstractBuilder.class.php,5,33,0,2,40
C:\ppm8-dev\app\classes\infinitymetrics\util\HtmlParser.php,276,58,0,30,364
C:\ppm8-dev\app\classes\infinitymetrics\util\HttpClient.class.php,93,14,2,12,121
C:\ppm8-dev\app\classes\infinitymetrics\util\IndexedList.interface.php,8,27,0,1,36
C:\ppm8-dev\app\classes\infinitymetrics\util\javanet\rssparser\CollabnetRssChannel.class.php,52,61,0,2,115
C:\ppm8-dev\app\classes\infinitymetrics\util\javanet\rssparser\RssChannel.class.php,56,105,0,1,162
C:\ppm8-dev\app\classes\infinitymetrics\util\javanet\rssparser\RssItem.class.php,90,158,0,0,248
C:\ppm8-dev\app\classes\infinitymetrics\util\javanet\rssparser\RssItemBuilder.class.php,85,140,0,7,232
C:\ppm8-dev\app\classes\infinitymetrics\util\screenscraperapi\JNUrlBuilder.class.php,47,95,0,2,144
C:\ppm8-dev\app\classes\infinitymetrics\util\screenscraperapi\mailinglist\JNMailingListsImpl.class.php,103,71,0,12,186
C:\ppm8-dev\app\classes\infinitymetrics\util\screenscraperapi\mailinglist\JNMailinglistsScraper.class.php,179,70,0,15,264
C:\ppm8-dev\app\classes\infinitymetrics\util\screenscraperapi\mailinglist\JNMailingListsWSInterface.interface.php,7,37,0,1,45
C:\ppm8-dev\app\classes\infinitymetrics\util\screenscraperapi\projecthome\JNProjectHomeImpl.class.php,69,23,3,16,111
C:\ppm8-dev\app\classes\infinitymetrics\util\screenscraperapi\projecthome\JNProjectHomeScraper.class.php,148,23,0,16,187
C:\ppm8-dev\app\classes\infinitymetrics\util\screenscraperapi\projecthome\JNProjectWSInterface.interface.php,7,16,0,2,25
C:\ppm8-dev\app\classes\infinitymetrics\util\screenscraperapi\rss\JNRssImpl.class.php,52,35,0,10,97
C:\ppm8-dev\app\classes\infinitymetrics\util\screenscraperapi\rss\JNRssWSInterface.interface.php,6,16,0,3,25
